id,category,text,sentiment
1,App Review,Love this app! Super easy to use and payment process. Used it 5 times.,Positive
2,App Review,Perfect! UI design works flawlessly,Positive
3,App Review,Love this app! Super easy to use and UI design. Used it 17 times.,Positive
4,App Review,Perfect! customer support works flawlessly,Positive
5,App Review,Best app ever! The data backup feature is amazing Perfect! payment process works flawlessly,Positive
6,App Review,Best app ever! The search function feature is amazing,Positive
7,App Review,Best app ever! The notifications feature is amazing. Used it 13 times.,Positive
8,App Review,5 stars! This app changed my life with its notifications,Positive
9,App Review,Fantastic app. The UI is beautiful and UI design,Positive
10,App Review,Love this app! Super easy to use and payment process Perfect! notifications works flawlessly,Positive
11,App Review,Love this app! Super easy to use and customer support,Positive
12,App Review,Best app ever! The UI design feature is amazing,Positive
13,App Review,5 stars! This app changed my life with its speed performance 5 stars! This app changed my life with its notifications. Used it 9 times.,Positive
14,App Review,Perfect! speed performance works flawlessly,Positive
15,App Review,Best app ever! The data backup feature is amazing,Positive
16,App Review,5 stars! This app changed my life with its login system. Used it 2 times.,Positive
17,App Review,Fantastic app. The UI is beautiful and payment process Love this app! Super easy to use and customer support,Positive
18,App Review,Best app ever! The data backup feature is amazing Fantastic app. The UI is beautiful and data backup. Used it 5 times.,Positive
19,App Review,Perfect! payment process works flawlessly,Positive
20,App Review,Perfect! search function works flawlessly 5 stars! This app changed my life with its customer support,Positive
21,App Review,Perfect! data backup works flawlessly. Used it 2 times.,Positive
22,App Review,Best app ever! The speed performance feature is amazing,Positive
23,App Review,Perfect! UI design works flawlessly Fantastic app. The UI is beautiful and search function,Positive
24,App Review,Perfect! payment process works flawlessly Perfect! login system works flawlessly,Positive
25,App Review,Perfect! payment process works flawlessly,Positive
26,App Review,Love this app! Super easy to use and payment process Fantastic app. The UI is beautiful and speed performance,Positive
27,App Review,Perfect! speed performance works flawlessly Perfect! UI design works flawlessly,Positive
28,App Review,Perfect! customer support works flawlessly Best app ever! The notifications feature is amazing,Positive
29,App Review,Perfect! notifications works flawlessly,Positive
30,App Review,5 stars! This app changed my life with its payment process. Used it 8 times.,Positive
31,App Review,Love this app! Super easy to use and data backup,Positive
32,App Review,Best app ever! The data backup feature is amazing,Positive
33,App Review,5 stars! This app changed my life with its search function,Positive
34,App Review,5 stars! This app changed my life with its search function,Positive
35,App Review,Fantastic app. The UI is beautiful and data backup Love this app! Super easy to use and customer support. Used it 11 times.,Positive
36,App Review,Perfect! customer support works flawlessly,Positive
37,App Review,Love this app! Super easy to use and login system. Used it 29 times.,Positive
38,App Review,5 stars! This app changed my life with its UI design,Positive
39,App Review,Fantastic app. The UI is beautiful and customer support Perfect! speed performance works flawlessly,Positive
40,App Review,Best app ever! The data backup feature is amazing Fantastic app. The UI is beautiful and customer support. Used it 22 times.,Positive
41,App Review,5 stars! This app changed my life with its search function Fantastic app. The UI is beautiful and data backup,Positive
42,App Review,Love this app! Super easy to use and login system,Positive
43,App Review,Love this app! Super easy to use and customer support Best app ever! The customer support feature is amazing,Positive
44,App Review,Fantastic app. The UI is beautiful and speed performance. Used it 8 times.,Positive
45,App Review,Fantastic app. The UI is beautiful and UI design. Used it 18 times.,Positive
46,App Review,Love this app! Super easy to use and customer support. Used it 16 times.,Positive
47,App Review,Best app ever! The search function feature is amazing Love this app! Super easy to use and speed performance,Positive
48,App Review,5 stars! This app changed my life with its data backup 5 stars! This app changed my life with its search function,Positive
49,App Review,Best app ever! The customer support feature is amazing 5 stars! This app changed my life with its customer support,Positive
50,App Review,5 stars! This app changed my life with its login system. Used it 16 times.,Positive
51,App Review,Love this app! Super easy to use and UI design,Positive
52,App Review,Perfect! UI design works flawlessly,Positive
53,App Review,Fantastic app. The UI is beautiful and UI design,Positive
54,App Review,Perfect! login system works flawlessly,Positive
55,App Review,Perfect! notifications works flawlessly 5 stars! This app changed my life with its customer support,Positive
56,App Review,Best app ever! The payment process feature is amazing Fantastic app. The UI is beautiful and speed performance,Positive
57,App Review,Fantastic app. The UI is beautiful and notifications Love this app! Super easy to use and login system,Positive
58,App Review,Love this app! Super easy to use and customer support,Positive
59,App Review,5 stars! This app changed my life with its UI design,Positive
60,App Review,5 stars! This app changed my life with its speed performance Fantastic app. The UI is beautiful and payment process,Positive
61,App Review,Perfect! payment process works flawlessly,Positive
62,App Review,Best app ever! The payment process feature is amazing. Used it 4 times.,Positive
63,App Review,5 stars! This app changed my life with its payment process,Positive
64,App Review,Best app ever! The payment process feature is amazing Perfect! data backup works flawlessly. Used it 30 times.,Positive
65,App Review,Love this app! Super easy to use and search function,Positive
66,App Review,Love this app! Super easy to use and notifications,Positive
67,App Review,Best app ever! The data backup feature is amazing Perfect! search function works flawlessly,Positive
68,App Review,Love this app! Super easy to use and speed performance,Positive
69,App Review,Perfect! speed performance works flawlessly Fantastic app. The UI is beautiful and speed performance. Used it 12 times.,Positive
70,App Review,5 stars! This app changed my life with its customer support,Positive
71,App Review,5 stars! This app changed my life with its search function,Positive
72,App Review,Best app ever! The speed performance feature is amazing,Positive
73,App Review,Fantastic app. The UI is beautiful and login system. Used it 30 times.,Positive
74,App Review,Fantastic app. The UI is beautiful and customer support 5 stars! This app changed my life with its speed performance,Positive
75,App Review,Fantastic app. The UI is beautiful and login system,Positive
76,App Review,Best app ever! The data backup feature is amazing,Positive
77,App Review,Best app ever! The login system feature is amazing,Positive
78,App Review,5 stars! This app changed my life with its payment process Love this app! Super easy to use and payment process,Positive
79,App Review,Perfect! notifications works flawlessly Love this app! Super easy to use and UI design,Positive
80,App Review,Best app ever! The payment process feature is amazing Love this app! Super easy to use and UI design,Positive
81,App Review,5 stars! This app changed my life with its search function Perfect! UI design works flawlessly,Positive
82,App Review,5 stars! This app changed my life with its login system,Positive
83,App Review,Perfect! customer support works flawlessly,Positive
84,App Review,5 stars! This app changed my life with its notifications,Positive
85,App Review,5 stars! This app changed my life with its payment process,Positive
86,App Review,Fantastic app. The UI is beautiful and payment process Perfect! speed performance works flawlessly. Used it 22 times.,Positive
87,App Review,Best app ever! The payment process feature is amazing Fantastic app. The UI is beautiful and login system,Positive
88,App Review,Fantastic app. The UI is beautiful and notifications,Positive
89,App Review,Best app ever! The data backup feature is amazing Best app ever! The UI design feature is amazing. Used it 22 times.,Positive
90,App Review,Love this app! Super easy to use and customer support 5 stars! This app changed my life with its customer support,Positive
91,App Review,Love this app! Super easy to use and login system. Used it 16 times.,Positive
92,App Review,Fantastic app. The UI is beautiful and search function,Positive
93,App Review,Fantastic app. The UI is beautiful and data backup,Positive
94,App Review,Love this app! Super easy to use and UI design,Positive
95,App Review,Best app ever! The data backup feature is amazing. Used it 8 times.,Positive
96,App Review,Fantastic app. The UI is beautiful and speed performance,Positive
97,App Review,Fantastic app. The UI is beautiful and search function Perfect! data backup works flawlessly,Positive
98,App Review,Fantastic app. The UI is beautiful and payment process Best app ever! The payment process feature is amazing,Positive
99,App Review,Best app ever! The payment process feature is amazing Fantastic app. The UI is beautiful and UI design,Positive
100,App Review,5 stars! This app changed my life with its notifications,Positive
101,App Review,Worst app ever! Crashes constantly during speed performance. Used it 23 times.,Negative
102,App Review,Worst app ever! Crashes constantly during UI design,Negative
103,App Review,Don't waste your time. data backup is unusable Horrible experience. The app is slow and login system. Used it 14 times.,Negative
104,App Review,Don't waste your time. login system is unusable Don't waste your time. search function is unusable,Negative
105,App Review,1 star. search function doesn't work at all Horrible experience. The app is slow and customer support,Negative
106,App Review,Horrible experience. The app is slow and data backup Terrible app. search function is completely broken,Negative
107,App Review,Worst app ever! Crashes constantly during data backup Worst app ever! Crashes constantly during login system,Negative
108,App Review,Terrible app. search function is completely broken. Used it 15 times.,Negative
109,App Review,Terrible app. payment process is completely broken,Negative
110,App Review,Horrible experience. The app is slow and notifications,Negative
111,App Review,1 star. search function doesn't work at all 1 star. UI design doesn't work at all,Negative
112,App Review,1 star. customer support doesn't work at all,Negative
113,App Review,Terrible app. customer support is completely broken. Used it 1 times.,Negative
114,App Review,Worst app ever! Crashes constantly during speed performance,Negative
115,App Review,Don't waste your time. customer support is unusable,Negative
116,App Review,1 star. speed performance doesn't work at all Don't waste your time. UI design is unusable,Negative
117,App Review,1 star. UI design doesn't work at all,Negative
118,App Review,Don't waste your time. search function is unusable Horrible experience. The app is slow and customer support. Used it 23 times.,Negative
119,App Review,Terrible app. payment process is completely broken,Negative
120,App Review,Don't waste your time. login system is unusable,Negative
121,App Review,1 star. UI design doesn't work at all Don't waste your time. notifications is unusable. Used it 14 times.,Negative
122,App Review,Terrible app. search function is completely broken 1 star. data backup doesn't work at all,Negative
